Sample Count,55

Sample No.,1
Date & Time,'2021-12-30 13:24:58
Data Type,OPC
Voc (V),39.28
Isc (A),8.918
Pmax (W),228.7857
Vpm (V),29.56
Ipm (A),7.738
EFF (%),11.768
FF,0.652
Tc (degC),15.9
Irr (W/m2),66
Nms,1
Rs (Ohm),0.9216
V (V),I (A),P (W)
18.78,8.047,151.1698
19.04,8.044,153.2280
19.30,8.042,155.2851
19.56,8.040,157.3410
19.82,8.038,159.3958
20.09,8.036,161.4494
20.35,8.033,163.4932
20.61,8.030,165.5337
20.87,8.028,167.5728
21.13,8.025,169.6105
21.39,8.022,171.6468
21.65,8.020,173.6817
21.91,8.017,175.7152
22.17,8.014,177.7473
22.43,8.012,179.7780
22.69,8.009,181.8072
22.96,8.005,183.8187
23.22,8.002,185.8211
23.48,7.998,187.8216
23.74,7.994,189.8202
24.00,7.991,191.8168
24.26,7.987,193.8114
24.52,7.983,195.8041
24.78,7.979,197.7880
25.04,7.974,199.7457
25.30,7.969,201.7008
25.56,7.964,203.6533
25.83,7.959,205.6032
26.09,7.954,207.5505
26.35,7.948,209.4607
26.61,7.941,211.3356
26.87,7.933,213.2065
27.13,7.926,215.0736
27.39,7.916,216.8796
27.65,7.905,218.6487
27.91,7.895,220.4121
28.17,7.874,221.8850
28.43,7.848,223.2140
28.70,7.817,224.3720
28.96,7.776,225.2138
29.22,7.729,225.8752
29.48,7.673,226.2373
29.74,7.614,226.4725
30.00,7.549,226.5284
30.26,7.473,226.1982
30.52,7.387,225.5055
30.78,7.281,224.1950
31.04,7.179,222.9026
31.30,7.064,221.1856
31.57,6.948,219.3603
31.83,6.813,216.8688
32.09,6.734,216.1170
32.35,6.615,214.0294
32.61,6.456,210.5754
32.87,6.261,205.8417
33.13,5.990,198.5079
33.39,5.836,194.9063
33.65,5.643,189.9600
33.91,5.447,184.7641
34.17,5.237,179.0007
34.44,4.977,171.4295
34.70,4.783,165.9786
34.96,4.469,156.2558
35.22,4.190,147.5933
35.48,3.888,137.9628
35.74,3.632,129.8309
36.00,3.350,120.6407
36.26,3.109,112.7882
36.52,2.842,103.8409
36.78,2.594,95.4311
37.04,2.346,86.9441
37.31,2.024,75.5362
37.57,1.778,66.8279
37.83,1.466,55.4694
38.09,1.206,45.9440
38.35,0.893,34.2839
38.61,0.605,23.3765
38.87,0.320,12.4597

Sample No.,3
Date & Time,'2021-12-30 13:28:12
Data Type,OPC
Voc (V),39.03
Isc (A),8.852
Pmax (W),223.8507
Vpm (V),29.81
Ipm (A),7.509
EFF (%),11.514
FF,0.647
Tc (degC),14.0
Irr (W/m2),80
Nms,1
Rs (Ohm),0.8950
V (V),I (A),P (W)
0.26,8.828,2.2974
0.52,8.805,4.5827
0.78,8.781,6.8559
1.04,8.758,9.1169
1.30,8.735,11.3658
1.56,8.711,13.6025
1.82,8.688,15.8270
2.08,8.665,18.0394
2.34,8.641,20.2397
2.60,8.618,22.4276
2.86,8.595,24.6037
3.12,8.571,26.7674
3.38,8.548,28.9191
3.64,8.525,31.0584
3.90,8.501,33.1860
4.16,8.478,35.3012
4.42,8.176,36.1695
4.68,8.151,38.1843
4.94,8.138,40.2411
5.20,8.127,42.2977
5.46,8.119,44.3733
5.72,8.112,46.4450
5.98,8.105,48.5130
6.24,8.101,50.5944
6.50,8.096,52.6753
6.76,8.092,54.7540
7.02,8.088,56.8305
7.28,8.084,58.9049
7.54,8.080,60.9777
7.80,8.077,63.0610
8.06,8.075,65.1431
8.32,8.072,67.2239
8.58,8.070,69.3034
8.84,8.067,71.3815
9.10,8.065,73.4584
9.36,8.062,75.5341
9.62,8.060,77.6084
9.88,8.057,79.6814
10.14,8.055,81.7532
10.40,8.053,83.8305
10.66,8.051,85.9072
10.92,8.050,87.9830
11.18,8.048,90.0578
11.44,8.046,92.1318
11.71,8.044,94.2048
11.97,8.042,96.2768
12.23,8.041,98.3480
12.49,8.039,100.4182
12.75,8.037,102.4875
13.01,8.035,104.5558
13.27,8.033,106.6233
13.53,8.032,108.6898
13.79,8.030,110.7553
14.05,8.028,112.8205
14.31,8.026,114.8850
14.57,8.025,116.9486
14.83,8.023,119.0112
15.09,8.021,121.0730
15.35,8.019,123.1339
15.61,8.018,125.1938
15.87,8.016,127.2529
16.13,8.014,129.3110
16.39,8.013,131.3683
16.65,8.011,133.4247
16.91,8.009,135.4801
17.17,8.007,137.5347
17.43,8.006,139.5883
17.69,8.004,141.6411
17.95,8.002,143.6913
18.21,8.000,145.7399
18.47,7.998,147.7876
18.73,7.997,149.8343
18.99,7.995,151.8801
19.25,7.993,153.9248
19.51,7.991,155.9687
19.77,7.989,158.0115
20.03,7.987,160.0534
20.29,7.985,162.0943
20.55,7.983,164.1342
20.81,7.982,166.1732
21.07,7.980,168.2112
21.33,7.978,170.2482
21.59,7.976,172.2755
21.85,7.973,174.2907
22.11,7.970,176.3044
22.37,7.967,178.3167
22.63,7.965,180.3276
22.89,7.962,182.3370
23.16,7.959,184.3450
23.42,7.956,186.3516
23.68,7.954,188.3567
23.94,7.951,190.3604
24.20,7.947,192.3363
24.46,7.942,194.2957
24.72,7.938,196.2528
24.98,7.934,198.2076
25.24,7.929,200.1601
25.50,7.925,202.1103
25.76,7.919,204.0325
26.02,7.913,205.9184
26.28,7.906,207.8007
26.54,7.899,209.6796
26.80,7.891,211.5310
27.06,7.881,213.3089
27.32,7.871,215.0816
27.58,7.858,216.7728
27.84,7.842,218.3603
28.10,7.816,219.6806
28.36,7.786,220.8696
28.62,7.750,221.8464
28.88,7.702,222.4986
29.14,7.657,223.1760
29.40,7.602,223.5512
29.66,7.542,223.7490
29.92,7.478,223.8106
30.18,7.396,223.2719
30.44,7.303,222.3652
30.70,7.204,221.2155
30.96,7.109,220.1746
31.22,7.003,218.6885
31.48,6.894,217.0868
31.74,6.761,214.6772
32.00,6.635,212.3802
32.26,6.487,209.3378
32.52,6.357,206.7959
32.78,6.219,203.9367
33.04,6.002,198.3688
33.30,5.801,193.2265
33.56,5.587,187.5628
33.82,5.399,182.6636
34.08,5.193,177.0516
34.34,4.968,170.6594
34.61,4.724,163.5214
34.87,4.566,159.2387
35.13,4.259,149.6447
35.39,3.990,141.2441
35.65,3.704,132.0587
35.91,3.431,123.2324
36.17,3.128,113.1507
36.43,2.902,105.7335
36.69,2.652,97.3336
36.95,2.381,88.0156
37.21,2.124,79.0526
37.47,1.782,66.8049
37.73,1.474,55.6295
37.99,1.159,44.0564
38.25,0.877,33.5641
38.51,0.590,22.7258
38.77,0.298,11.5715

Sample No.,4
Date & Time,'2021-12-30 13:29:02
Data Type,OPC
Voc (V),38.97
Isc (A),8.716
Pmax (W),221.9345
Vpm (V),29.73
Ipm (A),7.464
EFF (%),11.416
FF,0.653
Tc (degC),14.1
Irr (W/m2),748
Nms,1
Rs (Ohm),0.9105
V (V),I (A),P (W)
0.25,8.694,2.2590
0.51,8.673,4.5067
0.77,8.651,6.7431
1.03,8.629,8.9682
1.29,8.607,11.1818
1.55,8.585,13.3842
1.81,8.563,15.5752
2.07,8.542,17.7549
2.33,8.520,19.9232
2.59,8.498,22.0802
2.85,8.476,24.2258
3.11,8.454,26.3601
3.37,8.433,28.4831
3.63,8.411,30.5947
3.89,8.389,32.6951
4.15,8.367,34.7839
4.41,8.082,35.6993
4.67,8.060,37.6939
4.93,8.046,39.7206
5.19,8.037,41.7639
5.45,8.028,43.8024
5.71,8.022,45.8552
5.97,8.016,47.9062
6.23,8.011,49.9542
6.49,8.005,51.9993
6.75,8.002,54.0559
7.01,7.999,56.1145
7.27,7.996,58.1716
7.53,7.993,60.2271
7.79,7.990,62.2812
8.05,7.987,64.3337
8.31,7.984,66.3847
8.57,7.981,68.4342
8.83,7.979,70.4883
9.09,7.977,72.5437
9.35,7.975,74.5981
9.61,7.973,76.6515
9.87,7.971,78.7038
10.13,7.969,80.7552
10.39,7.967,82.8055
10.65,7.965,84.8549
10.91,7.963,86.9032
11.17,7.961,88.9505
11.43,7.959,90.9968
11.69,7.958,93.0420
11.95,7.956,95.0868
12.21,7.954,97.1315
12.47,7.952,99.1752
12.73,7.950,101.2180
12.99,7.948,103.2599
13.25,7.946,105.3007
13.51,7.945,107.3407
13.77,7.943,109.3796
14.02,7.941,111.4176
14.28,7.939,113.4547
14.54,7.937,115.4908
14.80,7.935,117.5260
15.06,7.934,119.5602
15.32,7.932,121.5934
15.58,7.930,123.6235
15.84,7.928,125.6526
16.10,7.926,127.6806
16.36,7.924,129.7075
16.62,7.922,131.7335
16.88,7.920,133.7584
17.14,7.918,135.7823
17.40,7.916,137.8051
17.66,7.914,139.8269
17.92,7.912,141.8477
18.18,7.910,143.8675
18.44,7.908,145.8863
18.70,7.906,147.9026
18.96,7.904,149.9144
19.22,7.901,151.9251
19.48,7.899,153.9346
19.74,7.897,155.9430
20.00,7.895,157.9502
20.26,7.893,159.9563
20.52,7.890,161.9611
20.78,7.888,163.9648
21.04,7.886,165.9674
21.30,7.884,167.9688
21.56,7.881,169.9690
21.82,7.878,171.9530
22.08,7.875,173.9322
22.34,7.872,175.9097
22.60,7.869,177.8857
22.86,7.866,179.8601
23.12,7.863,181.8329
23.38,7.860,183.8041
23.64,7.857,185.7737
23.90,7.853,187.7305
24.16,7.849,189.6629
24.42,7.844,191.5929
24.68,7.840,193.5207
24.94,7.836,195.4461
25.20,7.831,197.3692
25.46,7.826,199.2786
25.72,7.820,201.1675
25.98,7.815,203.0536
26.24,7.809,204.9367
26.50,7.804,206.8169
26.76,7.797,208.6556
27.02,7.788,210.4586
27.28,7.780,212.2573
27.54,7.771,214.0193
27.80,7.756,215.6360
28.05,7.739,217.1796
28.31,7.714,218.4814
28.57,7.678,219.4606
28.83,7.642,220.4049
29.09,7.598,221.1219
29.35,7.546,221.5668
29.61,7.488,221.8045
29.87,7.393,220.9006
30.13,7.309,220.2931
30.39,7.228,219.7185
30.65,7.111,218.0270
30.91,7.014,216.8647
31.17,6.917,215.6760
31.43,6.748,212.1697
31.69,6.593,208.9803
31.95,6.460,206.4616
32.21,6.288,202.6026
32.47,6.158,200.0030
32.73,5.993,196.2054
32.99,5.833,192.4772
33.25,5.659,188.2021
33.51,5.479,183.6343
33.77,5.320,179.7025
34.03,5.128,174.5638
34.29,4.941,169.4756
34.55,4.729,163.4119
34.81,4.479,155.9436
35.07,4.209,147.6427
35.33,3.933,139.0052
35.59,3.642,129.6448
35.85,3.360,120.4778
36.11,3.184,115.0111
36.37,2.848,103.5984
36.63,2.578,94.4588
36.89,2.283,84.2387
37.15,2.027,75.3149
37.41,1.748,65.4013
37.67,1.448,54.5828
37.93,1.130,42.8972
38.19,0.843,32.2041
38.45,0.541,20.8397
38.71,0.268,10.3866

Sample No.,5
Date & Time,'2021-12-30 13:29:39
Data Type,OPC
Voc (V),38.98
Isc (A),8.592
Pmax (W),220.9819
Vpm (V),29.90
Ipm (A),7.390
EFF (%),11.367
FF,0.659
Tc (degC),14.1
Irr (W/m2),99
Nms,1
Rs (Ohm),0.8697
V (V),I (A),P (W)
0.25,8.571,2.2278
0.51,8.551,4.4450
0.77,8.530,6.6516
1.03,8.510,8.8474
1.29,8.489,11.0327
1.55,8.469,13.2073
1.81,8.448,15.3712
2.07,8.428,17.5245
2.33,8.407,19.6670
2.59,8.387,21.7989
2.85,8.366,23.9203
3.11,8.346,26.0308
3.37,8.325,28.1308
3.63,8.305,30.2202
3.89,8.284,32.2988
4.15,8.264,34.3668
4.41,7.999,35.3456
4.67,7.986,37.3611
4.93,7.975,39.3827
5.19,7.967,41.4144
5.45,7.959,43.4420
5.71,7.953,45.4799
5.97,7.949,47.5200
6.23,7.944,49.5578
6.49,7.940,51.5931
6.75,7.935,53.6262
7.01,7.932,55.6680
7.27,7.929,57.7091
7.53,7.927,59.7488
7.79,7.924,61.7870
8.05,7.921,63.8237
8.31,7.918,65.8590
8.57,7.915,67.8928
8.83,7.912,69.9253
9.09,7.911,71.9646
9.35,7.909,74.0029
9.61,7.907,76.0402
9.87,7.905,78.0766
10.13,7.903,80.1119
10.39,7.901,82.1462
10.65,7.899,84.1796
10.91,7.897,86.2119
11.17,7.895,88.2433
11.43,7.893,90.2737
11.69,7.891,92.3031
11.95,7.890,94.3315
12.21,7.888,96.3594
12.47,7.886,98.3864
12.73,7.884,100.4124
12.99,7.882,102.4374
13.25,7.880,104.4615
13.51,7.878,106.4845
13.77,7.877,108.5067
14.03,7.875,110.5278
14.29,7.873,112.5480
14.55,7.871,114.5672
14.81,7.869,116.5854
15.07,7.867,118.6027
15.33,7.865,120.6167
15.59,7.863,122.6277
15.85,7.861,124.6376
16.11,7.859,126.6465
16.37,7.857,128.6542
16.63,7.855,130.6608
16.89,7.852,132.6663
17.15,7.850,134.6706
17.41,7.848,136.6739
17.67,7.846,138.6761
17.93,7.844,140.6771
18.19,7.842,142.6748
18.45,7.839,144.6680
18.71,7.837,146.6600
18.97,7.834,148.6507
19.23,7.832,150.6401
19.49,7.829,152.6282
19.75,7.827,154.6151
20.01,7.825,156.6008
20.27,7.822,158.5851
20.53,7.820,160.5682
20.79,7.817,162.5462
21.05,7.814,164.5189
21.31,7.811,166.4900
21.57,7.809,168.4597
21.83,7.806,170.4280
22.09,7.803,172.3948
22.35,7.800,174.3601
22.61,7.797,176.3239
22.87,7.795,178.2863
23.13,7.791,180.2322
23.39,7.787,182.1698
23.65,7.784,184.1054
23.91,7.780,186.0391
24.17,7.776,187.9708
