Sample Count,55

Sample No.,1
Date & Time,'2021-12-30 13:24:58
Data Type,OPC
Voc (V),39.28
Isc (A),8.918
Pmax (W),228.7857
Vpm (V),29.56
Ipm (A),7.738
EFF (%),11.768
FF,0.652
Tc (degC),15.9
Irr (W/m2),66
Nms,1
Rs (Ohm),0.9216
V (V),I (A),P (W)
9.78,7.763,76.0021
10.04,7.761,77.9763
10.30,7.758,79.9512
10.56,7.756,81.9249
10.82,7.753,83.8974
11.07,7.751,85.8686
11.33,7.749,87.8386
11.59,7.746,89.8074
11.85,7.744,91.7749
12.10,7.742,93.7413
12.36,7.739,95.7064
12.62,7.736,97.6667
12.88,7.733,99.6212
13.13,7.730,101.5740
13.39,7.727,103.5253
13.65,7.724,105.4751
13.91,7.721,107.4233
14.16,7.718,109.3700
14.42,7.715,111.3151
14.68,7.711,113.2385
14.94,7.706,115.1507
15.19,7.701,117.0604
15.45,7.696,118.9676
15.71,7.691,120.8722
15.97,7.684,122.7371
16.23,7.676,124.5940
16.48,7.669,126.4470
16.74,7.657,128.2237
17.00,7.643,129.9602
17.26,7.622,131.5611
17.51,7.586,132.8958
17.77,7.544,134.1092
18.03,7.484,134.9756
18.29,7.412,135.5811
18.54,7.329,135.9540
18.80,7.224,135.8593
19.06,7.128,135.8963
19.32,7.001,135.2708
19.57,6.849,134.1050
19.83,6.741,133.7312
20.09,6.733,135.3105
20.35,6.725,136.8858
20.60,6.718,138.4570
20.86,6.710,140.0243
21.12,6.702,141.5874
21.38,6.699,143.2453
21.64,6.696,144.9147
21.89,6.693,146.5827
22.15,6.691,148.2495
22.41,6.688,149.9148
22.67,6.686,151.5789
22.92,6.683,153.2416
23.18,6.680,154.9029
23.44,6.678,156.5629
23.70,6.675,158.2216
23.95,6.673,159.8789
24.21,6.670,161.5349
24.47,6.667,163.1895
24.73,6.665,164.8428
24.98,6.662,166.4947
25.24,6.660,168.1453
25.50,6.657,169.7946
25.76,6.654,171.4217
26.01,6.650,173.0447
26.27,6.647,174.6658
26.53,6.643,176.2852
26.79,6.640,177.9027
27.05,6.636,179.5184
27.30,6.633,181.1324
27.56,6.629,182.7445
27.82,6.625,184.3548
28.08,6.622,185.9633
28.33,6.618,187.5700
28.59,6.615,189.1749
28.85,6.611,190.7762
29.11,6.602,192.1946
29.36,6.592,193.6080
29.62,6.582,195.0164
29.88,6.572,196.4197
30.14,6.556,197.6276
30.39,6.525,198.3557
30.65,6.475,198.5281
30.91,6.416,198.3497
31.17,6.323,197.1191
31.42,6.228,195.7694
31.68,6.101,193.3438
31.94,5.987,191.2636
32.20,5.861,188.7652
32.46,5.716,185.5558
32.71,5.568,182.1910
32.97,5.425,178.9116
33.23,5.309,176.4583
33.49,5.126,171.6992
33.74,4.951,167.0888
34.00,4.706,160.0346
34.26,4.487,153.7674
34.52,4.257,146.9734
34.77,3.949,137.3756
35.03,3.738,130.9756
35.29,3.482,122.9093
35.55,3.305,117.5170
35.80,3.033,108.6374
36.06,2.755,99.3853
36.32,2.466,89.6021
36.58,2.215,81.0344
36.83,1.934,71.2615
37.09,1.674,62.1105
37.35,1.413,52.8015
37.61,1.124,42.3071
37.87,0.846,32.0474
38.12,0.545,20.8072
38.38,0.271,10.4205

Sample No.,15
Date & Time,'2021-12-30 13:50:33
Data Type,OPC
Voc (V),38.67
Isc (A),8.405
Pmax (W),196.8362
Vpm (V),30.58
Ipm (A),6.435
EFF (%),10.125
FF,0.605
Tc (degC),13.7
Irr (W/m2),71
Nms,1
Rs (Ohm),0.9456
V (V),I (A),P (W)
0.25,8.385,2.1618
0.51,8.364,4.3130
0.77,8.344,6.4536
1.03,8.323,8.5836
1.28,8.302,10.7030
1.54,8.282,12.8119
1.80,8.261,14.9101
2.06,8.241,16.9977
2.32,8.220,19.0747
2.57,8.200,21.1410
2.83,8.179,23.1969
3.09,8.159,25.2421
3.35,8.138,27.2769
3.60,8.117,29.3008
3.86,8.097,31.3141
4.12,8.076,33.3170
4.38,7.826,34.3000
4.64,7.807,36.2329
4.89,7.796,38.1899
5.15,7.785,40.1457
5.41,7.778,42.1141
5.67,7.771,44.0813
5.92,7.765,46.0450
6.18,7.760,48.0164
6.44,7.756,49.9904
6.70,7.751,51.9622
6.96,7.747,53.9319
7.21,7.743,55.8995
7.47,7.740,57.8691
7.73,7.737,59.8430
7.99,7.734,61.8154
8.25,7.731,63.7865
8.50,7.728,65.7560
8.76,7.726,67.7242
9.02,7.723,69.6909
9.28,7.720,71.6562
9.53,7.717,73.6222
9.79,7.715,75.5899
10.05,7.713,77.5565
10.31,7.711,79.5219
10.57,7.708,81.4861
10.82,7.706,83.4492
11.08,7.704,85.4111
11.34,7.702,87.3719
11.60,7.699,89.3315
11.85,7.697,91.2899
12.11,7.695,93.2449
12.37,7.692,95.1931
12.63,7.689,97.1399
12.89,7.686,99.0852
13.14,7.683,101.0290
13.40,7.680,102.9713
13.66,7.677,104.9122
13.92,7.675,106.8515
14.17,7.671,108.7842
14.43,7.667,110.6994
14.69,7.663,112.6124
14.95,7.658,114.5232
15.21,7.654,116.4317
15.46,7.650,118.3380
15.72,7.644,120.2158
15.98,7.637,122.0834
16.24,7.631,123.9477
16.50,7.624,125.8031
16.75,7.609,127.5159
17.01,7.591,129.1678
17.27,7.567,130.7181
17.53,7.535,132.1136
17.78,7.484,133.1373
18.04,7.416,133.8442
18.30,7.348,134.5119
18.56,7.257,134.7170
18.82,7.147,134.5117
19.07,7.048,134.4630
19.33,6.909,133.5990
19.59,6.749,132.2436
19.85,6.698,132.9828
20.10,6.684,134.4182
20.36,6.669,135.8462
20.62,6.662,137.4212
20.88,6.659,139.0733
21.14,6.656,140.7239
21.39,6.653,142.3728
21.65,6.650,144.0200
21.91,6.647,145.6657
22.17,6.643,147.3097
22.42,6.640,148.9522
22.68,6.637,150.5930
22.94,6.634,152.2321
23.20,6.631,153.8697
23.46,6.628,155.5056
23.71,6.625,157.1400
23.97,6.621,158.7726
24.23,6.619,160.4080
24.49,6.616,162.0444
24.75,6.613,163.6794
25.00,6.610,165.3128
25.26,6.607,166.9448
25.52,6.604,168.5753
25.78,6.601,170.2044
26.03,6.598,171.8319
26.29,6.596,173.4580
26.55,6.593,175.0826
26.81,6.590,176.7058
27.07,6.587,178.3274
27.32,6.584,179.9476
27.58,6.581,181.5663
27.84,6.578,183.1836
28.10,6.576,184.7993
28.35,6.569,186.3038
28.61,6.562,187.7962
28.87,6.555,189.2850
29.13,6.548,190.7702
29.39,6.541,192.2518
29.64,6.534,193.7298
29.90,6.520,195.0075
30.16,6.497,195.9819
30.42,6.464,196.6687
30.67,6.410,196.6782
30.93,6.343,196.2570
31.19,6.258,195.2380
31.45,6.151,193.4960
31.71,6.057,192.0971
31.96,5.918,189.2108
32.22,5.787,186.5226
32.48,5.676,184.3894
32.74,5.509,180.4078
33.00,5.382,177.6155
33.25,5.225,173.8027
33.51,5.075,170.1083
33.77,4.959,167.5019
34.03,4.760,161.9958
34.28,4.527,155.2347
34.54,4.310,148.9096
34.80,4.052,141.0597
35.06,3.842,134.7287
35.32,3.592,126.8743
35.57,3.328,118.4374
35.83,3.027,108.4797
36.09,2.808,101.3824
36.35,2.502,90.9826
36.60,2.262,82.8369
36.86,1.888,69.6233
37.12,1.715,63.6734
37.38,1.467,54.8733
37.64,1.192,44.8710
37.89,0.839,31.8073
38.15,0.579,22.1099
38.41,0.299,11.5138

Sample No.,16
Date & Time,'2021-12-30 13:52:55
Data Type,OPC
Voc (V),38.53
Isc (A),8.727
Pmax (W),170.0744
Vpm (V),31.64
Ipm (A),5.375
EFF (%),8.748
FF,0.505
Tc (degC),13.9
Irr (W/m2),734
Nms,1
Rs (Ohm),0.9034
V (V),I (A),P (W)
0.25,8.664,2.2257
0.51,8.602,4.4193
0.77,8.539,6.5807
1.02,8.476,8.7099
1.28,8.414,10.8069
1.54,8.351,12.8718
1.79,8.288,14.9042
2.05,8.226,16.9047
2.31,8.163,18.8726
2.56,8.100,20.8090
2.82,8.038,22.7123
3.08,7.975,24.5839
3.33,7.912,26.4235
3.59,7.850,28.2305
3.85,7.787,30.0059
4.10,7.558,31.0664
4.36,7.452,32.5449
4.62,7.432,34.3649
4.88,7.421,36.2229
5.13,7.411,38.0755
5.39,7.401,39.9258
5.65,7.393,41.7805
5.90,7.384,43.6309
6.16,7.376,45.4771
6.42,7.368,47.3190
6.67,7.350,49.0890
6.93,7.329,50.8362
7.19,7.268,52.2787
7.44,7.192,53.5823
7.70,6.979,53.7871
7.96,6.768,53.8985
8.21,6.728,55.3086
8.47,6.721,56.9788
8.73,6.714,58.6455
8.99,6.707,60.3086
9.24,6.701,61.9682
9.50,6.694,63.6243
9.76,6.687,65.2769
10.01,6.681,66.9346
10.27,6.678,68.6249
10.53,6.676,70.3138
10.78,6.673,72.0015
11.04,6.671,73.6879
11.30,6.668,75.3729
11.55,6.666,77.0567
11.81,6.663,78.7392
12.07,6.661,80.4203
12.32,6.658,82.1002
12.58,6.656,83.7788
12.84,6.653,85.4561
13.10,6.651,87.1320
13.35,6.648,88.8067
13.61,6.645,90.4801
13.87,6.643,92.1521
14.12,6.640,93.8229
14.38,6.638,95.4924
14.64,6.635,97.1605
14.89,6.633,98.8274
15.15,6.630,100.4828
15.41,6.624,102.1046
15.66,6.619,103.7237
15.92,6.614,105.3400
16.18,6.609,106.9537
16.43,6.603,108.5646
16.69,6.598,110.1728
16.95,6.593,111.7783
17.21,6.587,113.3811
17.46,6.582,114.9812
17.72,6.571,116.4837
17.98,6.555,117.8694
18.23,6.538,119.2466
18.49,6.508,120.3820
18.75,6.451,120.9828
19.00,6.377,121.2245
19.26,6.266,120.7322
19.52,6.134,119.7632
19.77,5.995,118.5926
20.03,5.829,116.7968
20.29,5.700,115.6857
20.54,5.664,116.4075
20.80,5.658,117.7411
21.06,5.652,119.0718
21.32,5.647,120.3995
21.57,5.641,121.7241
21.83,5.635,123.0458
22.09,5.629,124.3645
22.34,5.623,125.6801
22.60,5.617,126.9928
22.86,5.612,128.3025
23.11,5.606,129.6092
23.37,5.600,130.9128
23.63,5.595,132.2420
23.88,5.592,133.6046
24.14,5.589,134.9656
24.40,5.586,136.3250
24.65,5.583,137.6828
24.91,5.580,139.0390
25.17,5.577,140.3935
25.43,5.573,141.7465
25.68,5.570,143.0979
25.94,5.567,144.4476
26.20,5.564,145.7958
26.45,5.561,147.1423
26.71,5.558,148.4872
26.97,5.555,149.8305
27.22,5.551,151.1722
27.48,5.548,152.5123
27.74,5.545,153.8508
27.99,5.542,155.1877
28.25,5.539,156.5230
28.51,5.536,157.8566
28.76,5.533,159.1887
29.02,5.530,160.5191
29.28,5.526,161.8480
29.54,5.521,163.1083
29.79,5.510,164.2006
30.05,5.499,165.2873
30.31,5.488,166.3684
30.56,5.477,167.4439
30.82,5.466,168.5137
31.08,5.455,169.5779
31.33,5.427,170.0788
31.59,5.382,170.0771
31.85,5.313,169.2384
32.10,5.227,167.8649
32.36,5.133,166.1464
32.62,5.021,163.8267
32.87,4.919,161.7524
33.13,4.789,158.7147
33.39,4.595,153.4632
33.65,4.439,149.4057
33.90,4.271,144.8373
34.16,4.104,140.2165
34.42,3.915,134.7616
34.67,3.689,127.9416
34.93,3.489,121.9182
35.19,3.252,114.4460
35.44,3.025,107.2634
35.70,2.727,97.3708
35.96,2.550,91.7257
36.21,2.382,86.3030
36.47,2.119,77.3167
36.73,1.887,69.3268
36.98,1.650,61.0506
37.24,1.380,51.4144
37.50,1.124,42.1736
37.76,0.855,32.3130
38.01,0.558,21.2215
38.27,0.288,11.0315

Sample No.,17
Date & Time,'2021-12-30 13:53:55
Data Type,OPC
Voc (V),37.30
Isc (A),2.649
Pmax (W),22.4381
Vpm (V),10.24
Ipm (A),2.190
EFF (%),1.154
FF,0.226
Tc (degC),13.9
Irr (W/m2),735
Nms,1
Rs (Ohm),0.9034
V (V),I (A),P (W)
0.24,2.636,0.6558
0.49,2.623,1.3051
0.74,2.610,1.9479
0.99,2.597,2.5842
1.24,2.584,3.2139
1.49,2.571,3.8372
1.74,2.558,4.4540
1.98,2.502,4.9791
2.23,2.500,5.5981
2.48,2.499,6.2164
2.73,2.497,6.8340
2.98,2.493,7.4415
3.23,2.482,8.0278
3.48,2.468,8.5953
3.73,2.452,9.1506
3.97,2.438,9.7051
4.22,2.426,10.2599
4.47,2.417,10.8214
4.72,2.408,11.3804
4.97,2.399,11.9371
5.22,2.392,12.4962
5.47,2.385,13.0561
5.72,2.378,13.6091
5.96,2.371,14.1585
6.21,2.365,14.7087
6.46,2.359,15.2560
6.71,2.352,15.7998
6.96,2.346,16.3394
7.21,2.339,16.8750
7.46,2.332,17.4061
7.71,2.325,17.9318
7.95,2.317,18.4462
8.20,2.305,18.9230
8.45,2.300,19.4510
8.70,2.291,19.9482
8.95,2.281,20.4252
9.20,2.269,20.8889
9.45,2.256,21.3279
9.70,2.240,21.7327
9.94,2.224,22.1335
10.19,2.197,22.4109
10.44,2.043,21.3460
10.69,1.831,19.5852
10.94,1.548,16.9414
11.19,1.226,13.7272
11.44,0.928,10.6228
11.69,0.871,10.1917
11.93,0.857,10.2327
12.18,0.842,10.2712
12.43,0.837,10.4116
12.68,0.831,10.5493
12.93,0.826,10.6842
13.18,0.820,10.8163
13.43,0.814,10.9457
13.67,0.809,11.0723
13.92,0.803,11.1961
14.17,0.798,11.3255
14.42,0.793,11.4526
14.67,0.788,11.5772
14.92,0.783,11.6994
15.17,0.778,11.8191
15.42,0.774,11.9364
15.66,0.769,12.0511
15.91,0.764,12.1634
16.16,0.758,12.2677
16.41,0.753,12.3687
16.66,0.748,12.4671
16.91,0.742,12.5628
17.16,0.737,12.6559
17.41,0.732,12.7463
17.65,0.726,12.8340
17.90,0.721,12.9220
18.15,0.716,13.0165
18.40,0.712,13.1087
18.65,0.707,13.1986
18.90,0.702,13.2861
19.15,0.698,13.3713
19.40,0.693,13.4542
19.64,0.688,13.5348
19.89,0.684,13.6130
20.14,0.680,13.7053
20.39,0.678,13.8294
20.64,0.675,13.9524
20.89,0.673,14.0742
21.14,0.671,14.1950
21.39,0.669,14.3147
21.63,0.667,14.4333
21.88,0.664,14.5508
22.13,0.662,14.6672
22.38,0.660,14.7825
22.63,0.658,14.8966
22.88,0.655,15.0097
23.13,0.653,15.1217
23.38,0.651,15.2326
23.62,0.649,15.3424
23.87,0.647,15.4510
24.12,0.644,15.5586
24.37,0.642,15.6651
24.62,0.640,15.7705
24.87,0.638,15.8760
25.12,0.636,15.9963
25.37,0.635,16.1158
25.61,0.633,16.2346
25.86,0.632,16.3527
26.11,0.630,16.4699
26.36,0.629,16.5864
26.61,0.627,16.7022
26.86,0.626,16.8172
27.11,0.624,16.9314
27.35,0.622,17.0449
27.60,0.621,17.1576
27.85,0.619,17.2695
28.10,0.618,17.3807
28.35,0.616,17.4911
28.60,0.615,17.6008
28.85,0.613,17.7097
29.10,0.612,17.8178
29.34,0.610,17.9252
29.59,0.609,18.0318
29.84,0.607,18.1377
30.09,0.606,18.2427
30.34,0.604,18.3471
30.59,0.603,18.4506
30.84,0.601,18.5535
31.09,0.600,18.6555
31.33,0.598,18.7568
31.58,0.596,18.8573
31.83,0.595,18.9571
32.08,0.592,19.0230
32.33,0.589,19.0740
32.58,0.586,19.1236
32.83,0.583,19.1717
33.08,0.580,19.2182
33.32,0.577,19.2634
33.57,0.574,19.3070
33.82,0.572,19.3491
34.07,0.569,19.3898
34.32,0.566,19.4290
34.57,0.563,19.4667
34.82,0.560,19.5029
35.07,0.557,19.5376
35.31,0.554,19.5708
35.56,0.551,19.6026
35.81,0.537,19.2545
36.06,0.522,18.8351
36.31,0.506,18.4080
36.56,0.435,15.9370
36.81,0.321,11.8218
37.06,0.190,7.0594

Sample No.,18
Date & Time,'2021-12-30 13:52:55
Data Type,OPC
Voc (V),38.53
Isc (A),8.727
Pmax (W),170.0744
Vpm (V),31.64
Ipm (A),5.375
EFF (%),8.748
FF,0.505
Tc (degC),13.9
Irr (W/m2),734
Nms,1
Rs (Ohm),0.9034
V (V),I (A),P (W)
0.25,8.664,2.2257
0.51,8.602,4.4193
0.77,8.539,6.5807
1.02,8.476,8.7099
1.28,8.414,10.8069
1.54,8.351,12.8718
1.79,8.288,14.9042
2.05,8.226,16.9047
2.31,8.163,18.8726
2.56,8.100,20.8090
2.82,8.038,22.7123
3.08,7.975,24.5839
3.33,7.912,26.4235
3.59,7.850,28.2305
3.85,7.787,30.0059
4.10,7.558,31.0664
4.36,7.452,32.5449
4.62,7.432,34.3649
4.88,7.421,36.2229
5.13,7.411,38.0755
5.39,7.401,39.9258
5.65,7.393,41.7805
5.90,7.384,43.6309
6.16,7.376,45.4771
6.42,7.368,47.3190
6.67,7.350,49.0890
6.93,7.329,50.8362
7.19,7.268,52.2787
7.44,7.192,53.5823
7.70,6.979,53.7871
7.96,6.768,53.8985
8.21,6.728,55.3086
8.47,6.721,56.9788
8.73,6.714,58.6455
8.99,6.707,60.3086
9.24,6.701,61.9682
9.50,6.694,63.6243
9.76,6.687,65.2769
10.01,6.681,66.9346
10.27,6.678,68.6249
10.53,6.676,70.3138
10.78,6.673,72.0015
11.04,6.671,73.6879
11.30,6.668,75.3729
11.55,6.666,77.0567
11.81,6.663,78.7392
12.07,6.661,80.4203
12.32,6.658,82.1002
12.58,6.656,83.7788
12.84,6.653,85.4561
13.10,6.651,87.1320
13.35,6.648,88.8067
13.61,6.645,90.4801
13.87,6.643,92.1521
14.12,6.640,93.8229
14.38,6.638,95.4924
14.64,6.635,97.1605
14.89,6.633,98.8274
15.15,6.630,100.4828
15.41,6.624,102.1046
15.66,6.619,103.7237
15.92,6.614,105.3400
16.18,6.609,106.9537
16.43,6.603,108.5646
16.69,6.598,110.1728
16.95,6.593,111.7783
17.21,6.587,113.3811
17.46,6.582,114.9812
17.72,6.571,116.4837
17.98,6.555,117.8694
18.23,6.538,119.2466
18.49,6.508,120.3820
18.75,6.451,120.9828
19.00,6.377,121.2245
19.26,6.266,120.7322
19.52,6.134,119.7632
19.77,5.995,118.5926
20.03,5.829,116.7968
20.29,5.700,115.6857
20.54,5.664,116.4075
20.80,5.658,117.7411
21.06,5.652,119.0718
21.32,5.647,120.3995
21.57,5.641,121.7241
21.83,5.635,123.0458
22.09,5.629,124.3645
22.34,5.623,125.6801
22.60,5.617,126.9928
22.86,5.612,128.3025
23.11,5.606,129.6092
23.37,5.600,130.9128
23.63,5.595,132.2420
23.88,5.592,133.6046
24.14,5.589,134.9656
24.40,5.586,136.3250
24.65,5.583,137.6828
24.91,5.580,139.0390
25.17,5.577,140.3935
25.43,5.573,141.7465
25.68,5.570,143.0979
25.94,5.567,144.4476
26.20,5.564,145.7958
26.45,5.561,147.1423
26.71,5.558,148.4872
26.97,5.555,149.8305
27.22,5.551,151.1722
27.48,5.548,152.5123
27.74,5.545,153.8508
27.99,5.542,155.1877
28.25,5.539,156.5230
28.51,5.536,157.8566
28.76,5.533,159.1887
29.02,5.530,160.5191
29.28,5.526,161.8480
29.54,5.521,163.1083
29.79,5.510,164.2006
30.05,5.499,165.2873
30.31,5.488,166.3684
30.56,5.477,167.4439
30.82,5.466,168.5137
31.08,5.455,169.5779
31.33,5.427,170.0788
31.59,5.382,170.0771
31.85,5.313,169.2384
32.10,5.227,167.8649
32.36,5.133,166.1464
32.62,5.021,163.8267
32.87,4.919,161.7524
33.13,4.789,158.7147
33.39,4.595,153.4632
33.65,4.439,149.4057
33.90,4.271,144.8373
34.16,4.104,140.2165
34.42,3.915,134.7616
34.67,3.689,127.9416
34.93,3.489,121.9182
35.19,3.252,114.4460
35.44,3.025,107.2634
35.70,2.727,97.3708
35.96,2.550,91.7257
36.21,2.382,86.3030
36.47,2.119,77.3167
36.73,1.887,69.3268
36.98,1.650,61.0506
37.24,1.380,51.4144
37.50,1.124,42.1736
37.76,0.855,32.3130
38.01,0.558,21.2215
38.27,0.288,11.0315

Sample No.,19
Date & Time,'2021-12-30 13:53:55
Data Type,OPC
Voc (V),37.30
Isc (A),2.649
Pmax (W),22.4381
Vpm (V),10.24
Ipm (A),2.190
EFF (%),1.154
FF,0.226
Tc (degC),13.9
Irr (W/m2),735
Nms,1
Rs (Ohm),0.9034
V (V),I (A),P (W)
0.24,2.636,0.6558
0.49,2.623,1.3051
0.74,2.610,1.9479
0.99,2.597,2.5842
1.24,2.584,3.2139
1.49,2.571,3.8372
1.74,2.558,4.4540
1.98,2.502,4.9791
2.23,2.500,5.5981
2.48,2.499,6.2164
2.73,2.497,6.8340
2.98,2.493,7.4415
3.23,2.482,8.0278
3.48,2.468,8.5953
3.73,2.452,9.1506
3.97,2.438,9.7051
4.22,2.426,10.2599
4.47,2.417,10.8214
4.72,2.408,11.3804
4.97,2.399,11.9371
5.22,2.392,12.4962
5.47,2.385,13.0561
5.72,2.378,13.6091
5.96,2.371,14.1585
6.21,2.365,14.7087
6.46,2.359,15.2560
6.71,2.352,15.7998
6.96,2.346,16.3394
7.21,2.339,16.8750
7.46,2.332,17.4061
7.71,2.325,17.9318
7.95,2.317,18.4462
8.20,2.305,18.9230
8.45,2.300,19.4510
8.70,2.291,19.9482
8.95,2.281,20.4252
9.20,2.269,20.8889
9.45,2.256,21.3279
9.70,2.240,21.7327
9.94,2.224,22.1335
10.19,2.197,22.4109
10.44,2.043,21.3460
10.69,1.831,19.5852
10.94,1.548,16.9414
11.19,1.226,13.7272
11.44,0.928,10.6228
11.69,0.871,10.1917
11.93,0.857,10.2327
12.18,0.842,10.2712
12.43,0.837,10.4116
12.68,0.831,10.5493
12.93,0.826,10.6842
13.18,0.820,10.8163
13.43,0.814,10.9457
13.67,0.809,11.0723
13.92,0.803,11.1961
14.17,0.798,11.3255
14.42,0.793,11.4526
14.67,0.788,11.5772
14.92,0.783,11.6994
15.17,0.778,11.8191
15.42,0.774,11.9364
15.66,0.769,12.0511
15.91,0.764,12.1634
16.16,0.758,12.2677
16.41,0.753,12.3687
16.66,0.748,12.4671
16.91,0.742,12.5628
17.16,0.737,12.6559
17.41,0.732,12.7463
17.65,0.726,12.8340
17.90,0.721,12.9220
18.15,0.716,13.0165
18.40,0.712,13.1087
18.65,0.707,13.1986
18.90,0.702,13.2861
19.15,0.698,13.3713
19.40,0.693,13.4542
19.64,0.688,13.5348
19.89,0.684,13.6130
20.14,0.680,13.7053
20.39,0.678,13.8294
20.64,0.675,13.9524
20.89,0.673,14.0742
21.14,0.671,14.1950
21.39,0.669,14.3147
21.63,0.667,14.4333
21.88,0.664,14.5508
22.13,0.662,14.6672
22.38,0.660,14.7825
22.63,0.658,14.8966
22.88,0.655,15.0097
23.13,0.653,15.1217
23.38,0.651,15.2326
23.62,0.649,15.3424
23.87,0.647,15.4510
24.12,0.644,15.5586
24.37,0.642,15.6651
24.62,0.640,15.7705
24.87,0.638,15.8760
25.12,0.636,15.9963
25.37,0.635,16.1158
25.61,0.633,16.2346
25.86,0.632,16.3527
26.11,0.630,16.4699
26.36,0.629,16.5864
26.61,0.627,16.7022
26.86,0.626,16.8172
27.11,0.624,16.9314
27.35,0.622,17.0449
27.60,0.621,17.1576
27.85,0.619,17.2695
28.10,0.618,17.3807
28.35,0.616,17.4911
28.60,0.615,17.6008
28.85,0.613,17.7097
29.10,0.612,17.8178
29.34,0.610,17.9252
29.59,0.609,18.0318
29.84,0.607,18.1377
30.09,0.606,18.2427
30.34,0.604,18.3471
30.59,0.603,18.4506
30.84,0.601,18.5535
31.09,0.600,18.6555
31.33,0.598,18.7568
31.58,0.596,18.8573
31.83,0.595,18.9571
32.08,0.592,19.0230
32.33,0.589,19.0740
32.58,0.586,19.1236
32.83,0.583,19.1717
33.08,0.580,19.2182
33.32,0.577,19.2634
33.57,0.574,19.3070
33.82,0.572,19.3491
34.07,0.569,19.3898
34.32,0.566,19.4290
34.57,0.563,19.4667
34.82,0.560,19.5029
35.07,0.557,19.5376
35.31,0.554,19.5708
35.56,0.551,19.6026
35.81,0.537,19.2545
36.06,0.522,18.8351
36.31,0.506,18.4080
36.56,0.435,15.9370
36.81,0.321,11.8218
37.06,0.190,7.0594

Sample No.,20
Date & Time,'2021-12-30 13:54:59
Data Type,OPC
Voc (V),38.60
Isc (A),9.614
Pmax (W),170.5478
Vpm (V),31.12
Ipm (A),5.479
EFF (%),8.773
FF,0.459
Tc (degC),13.9
Irr (W/m2),738
Nms,1
Rs (Ohm),0.8603
V (V),I (A),P (W)
0.25,9.523,2.4508
0.51,9.432,4.8552
0.77,9.342,7.2128
1.02,9.251,9.5239
1.28,9.160,11.7882
1.54,9.070,14.0063
1.80,8.979,16.1775
2.05,8.889,18.3020
2.31,8.798,20.3799
2.57,8.708,22.4111
2.83,8.617,24.3962
3.08,8.527,26.3342
3.34,8.436,28.2256
3.60,8.345,30.0707
3.86,8.255,31.8689
4.11,8.164,33.6211
4.37,7.823,34.2302
4.63,7.790,36.0897
4.88,7.766,37.9751
5.14,7.752,39.9031
5.40,7.738,41.8240
5.66,7.724,43.7378
5.91,7.708,45.6302
6.17,7.691,47.5076
6.43,7.674,49.3760
6.69,7.647,51.1754
6.94,7.617,52.9335
7.20,7.542,54.3519
7.46,7.343,54.8106
7.72,7.204,55.6225
7.97,7.106,56.6984
8.23,6.799,55.9946
8.49,6.661,56.5791
8.75,6.621,57.9425
9.00,6.609,59.5359
9.26,6.605,61.2011
9.52,6.601,62.8643
9.77,6.597,64.5255
10.03,6.594,66.1847
10.29,6.590,67.8419
10.55,6.586,69.4971
10.80,6.582,71.1504
11.06,6.578,72.8016
11.32,6.574,74.4508
11.58,6.570,76.0981
11.83,6.566,77.7434
12.09,6.563,79.3866
12.35,6.559,81.0279
12.61,6.555,82.6672
12.86,6.551,84.3045
13.12,6.547,85.9398
13.38,6.543,87.5731
13.64,6.539,89.2039
13.89,6.535,90.8321
14.15,6.531,92.4582
14.41,6.527,94.0824
14.66,6.524,95.7044
14.92,6.520,97.3245
15.18,6.516,98.9425
15.44,6.512,100.5585
15.69,6.508,102.1724
15.95,6.504,103.7844
16.21,6.500,105.3942
16.47,6.496,107.0021
16.72,6.492,108.6079
16.98,6.488,110.2117
17.24,6.484,111.8134
17.50,6.480,113.4132
17.75,6.476,115.0108
18.01,6.472,116.6065
18.27,6.465,118.1339
18.52,6.442,119.3828
18.78,6.420,120.6202
19.04,6.397,121.8460
19.30,6.325,122.0880
19.55,6.173,120.7513
19.81,6.020,119.2979
20.07,5.867,117.7918
20.33,5.717,116.2472
20.58,5.659,116.5174
20.84,5.655,117.9053
21.10,5.652,119.2915
21.36,5.649,120.6761
21.61,5.646,122.0589
21.87,5.642,123.4400
22.13,5.639,124.8195
22.39,5.636,126.1973
22.64,5.632,127.5733
22.90,5.629,128.9477
23.16,5.626,130.3204
23.41,5.623,131.6914
23.67,5.619,133.0607
23.93,5.616,134.4283
24.19,5.613,135.7942
24.44,5.609,137.1585
24.70,5.606,138.5210
24.96,5.603,139.8818
25.22,5.600,141.2410
25.47,5.596,142.5984
25.73,5.593,143.9542
25.99,5.590,145.3083
26.25,5.586,146.6606
26.50,5.583,148.0113
26.76,5.580,149.3603
27.02,5.577,150.7076
27.28,5.573,152.0532
27.53,5.569,153.3651
27.79,5.562,154.6198
28.05,5.556,155.8712
28.30,5.550,157.1193
28.56,5.543,158.3642
28.82,5.537,159.6057
29.08,5.530,160.8438
29.33,5.524,162.0787
29.59,5.517,163.3103
29.85,5.511,164.5386
30.11,5.505,165.7636
30.36,5.498,166.9852
30.62,5.492,168.2036
30.88,5.485,169.4186
31.14,5.476,170.5326
31.39,5.423,170.2960
31.65,5.365,169.8513
31.91,5.292,168.9092
32.17,5.194,167.0961
32.42,5.079,164.7137
32.68,4.980,162.7896
32.94,4.884,160.8942
33.19,4.759,158.0227
33.45,4.631,154.9686
33.71,4.495,151.5560
